Feature,Type,Scaled
gender,Binary/Categorical,No
SeniorCitizen,Binary/Categorical,No
Partner,Binary/Categorical,No
Dependents,Binary/Categorical,No
tenure,Numerical,Yes
PhoneService,Binary/Categorical,No
PaperlessBilling,Binary/Categorical,No
MonthlyCharges,Numerical,Yes
TotalCharges,Numerical,Yes
contract_encoded,Numerical,Yes
contract_risk_score,Numerical,Yes
has_internet,Binary/Categorical,No
is_fiber,Binary/Categorical,No
is_dsl,Binary/Categorical,No
payment_Bank transfer (automatic),Binary/Categorical,No
payment_Credit card (automatic),Binary/Categorical,No
payment_Electronic check,Binary/Categorical,No
payment_Mailed check,Binary/Categorical,No
is_auto_payment,Binary/Categorical,No
is_electronic_check,Binary/Categorical,No
OnlineSecurity_binary,Binary/Categorical,No
OnlineBackup_binary,Binary/Categorical,No
DeviceProtection_binary,Binary/Categorical,No
TechSupport_binary,Binary/Categorical,No
StreamingTV_binary,Binary/Categorical,No
StreamingMovies_binary,Binary/Categorical,No
MultipleLines_binary,Binary/Categorical,No
tenure_group_encoded,Numerical,Yes
is_new_customer,Binary/Categorical,No
price_segment_encoded,Numerical,Yes
is_high_price,Binary/Categorical,No
TotalCharges_log,Numerical,Yes
avg_monthly_spend,Numerical,Yes
total_services,Numerical,Yes
security_services_count,Numerical,Yes
entertainment_services_count,Numerical,Yes
has_any_services,Binary/Categorical,No
is_fully_engaged,Binary/Categorical,No
has_security_bundle,Binary/Categorical,No
has_premium_protection,Binary/Categorical,No
has_security_gap,Binary/Categorical,No
has_partial_security,Binary/Categorical,No
is_likely_household,Binary/Categorical,No
family_size_indicator,Numerical,Yes
is_heavy_streaming,Binary/Categorical,No
projected_24m_value,Numerical,Yes
revenue_per_month,Numerical,Yes
loyalty_value_score,Numerical,Yes
mtm_new_customer,Binary/Categorical,No
mtm_mid_tenure,Binary/Categorical,No
long_contract_loyal,Binary/Categorical,No
fiber_mtm_risk,Binary/Categorical,No
fiber_long_contract,Binary/Categorical,No
high_price_no_services,Binary/Categorical,No
high_price_full_services,Binary/Categorical,No
new_customer_high_price,Binary/Categorical,No
echeck_no_autopay,Binary/Categorical,No
paperless_no_autopay,Binary/Categorical,No
senior_no_support,Binary/Categorical,No
single_minimal_services,Binary/Categorical,No
is_flight_risk,Binary/Categorical,No
is_value_at_risk,Binary/Categorical,No
needs_retention,Binary/Categorical,No
upsell_opportunity,Binary/Categorical,No
premium_retention_target,Binary/Categorical,No
